""      ,"ZPID"       ,"address"                                                           ,"price"    ,"bed" ,"bath" ,"Sq.Feet" ,"city"                 ,"zip-code"
"37"    ,"2146599268" ,"158 Walker St SW APT 6, Atlanta, GA 30313"                         ,"310000"   ,"2"   ,"2"    ,"1400"    ,"Atlanta"              ,"30313"
"38"    ,"35858287"   ,"2340 Highview Rd SW, Atlanta, GA 30311"                            ,"669900"   ,"6"   ,"5"    ,"4100"    ,"Atlanta"              ,"30311"
"39"    ,"35888129"   ,"752 Windsor St SW, Atlanta, GA 30315"                              ,"374900"   ,"3"   ,"2"    ,"1824"    ,"Atlanta"              ,"30315"
"40"    ,"14468263"   ,"132 Flora Ave, Atlanta, GA 30307"                                  ,"425000"   ,"4"   ,"2"    ,"2692"    ,"Atlanta"              ,"30307"
"41"    ,"2069619841" ,"498 Parker Ave SE, Decatur, GA 30032"                              ,"324900"   ,"2"   ,"1"    ,"1132"    ,"Decatur"              ,"30032"
"42"    ,"35834594"   ,"971 Washington Pl SW, Atlanta, GA 30314"                           ,"199000"   ,"2"   ,"1"    ,"1000"    ,"Atlanta"              ,"30314"
"43"    ,"14556814"   ,"3088 Boxwood Dr, Atlanta, GA 30345"                                ,"529900"   ,"4"   ,"3"    ,"2516"    ,"Atlanta"              ,"30345"
"44"    ,"82612056"   ,"3552 Oakshire Way SE, Atlanta, GA 30354"                           ,"365000"   ,"5"   ,"3"    ,"2795"    ,"Atlanta"              ,"30354"
"45"    ,"35844636"   ,"124 Scott St NW, Atlanta, GA 30314"                                ,"390000"   ,"3"   ,"3"    ,"1428"    ,"Atlanta"              ,"30314"
"46"    ,"14445853"   ,"1213 Bouldercrest Dr, Atlanta, GA 30316"                           ,"249900"   ,"2"   ,"1"    ,"1274"    ,"Atlanta"              ,"30316"
"47"    ,"65462097"   ,"800 Peachtree St NE APT 8604, Atlanta, GA 30308"                   ,"325000"   ,"2"   ,"2"    ,"1072"    ,"Atlanta"              ,"30308"
"48"    ,"35863787"   ,"89 Hollis Ter NW, Atlanta, GA 30311"                               ,"215000"   ,"3"   ,"3"    ,"1528"    ,"Atlanta"              ,"30311"
"49"    ,"2069891404" ,"870 Mayson Turner Rd NW UNIT 1414, Atlanta, GA 30314"              ,"165000"   ,"2"   ,"1"    ,"910"     ,"Atlanta"              ,"30314"
"50"    ,"35848346"   ,"976 Cascade Ave SW, Atlanta, GA 30311"                             ,"290000"   ,"3"   ,"2"    ,"1533"    ,"Atlanta"              ,"30311"
"51"    ,"2080284614" ,"32 Peachtree St NW APT 1507, Atlanta, GA 30303"                    ,"275000"   ,"2"   ,"2"    ,"0"       ,"Atlanta"              ,"30303"
