"Address","lon","lat","address"
"4964 Margaretta Ave, Saint Louis, MO 63115",-90.2494081,38.6784173,"4964 margaretta ave, st. louis, mo 63115, usa"
"4048 Meramec St, Saint Louis, MO 63116",-90.2564849,38.586621,"4048 meramec st, st. louis, mo 63116, usa"
"1564 Cadillac Blvd, Detroit, MI 48214",-82.9831049,42.3634014,"1564 cadillac blvd, detroit, mi 48214, usa"
"1822 Switzer Ave, Saint Louis, MO 63147",-90.250838,38.7166866,"1822 switzer ave, st. louis, mo 63147, usa"
"5502 Vermont Ave, Saint Louis, MO 63111",-90.2474283,38.5656848,"5502 vermont ave, st. louis, mo 63111, usa"
"4235 Kossuth Ave, Saint Louis, MO 63115",-90.2287717,38.6713755,"4235 kossuth ave, st. louis, mo 63115, usa"
"4630 Korte Ave, Saint Louis, MO 63115",-90.2348918,38.6802079,"4630 korte ave, st. louis, mo 63115, usa"
"1933 Chippewa St, Saint Louis, MO 63118",-90.2219381,38.5856867,"1933 chippewa st, st. louis, mo 63118, usa"
"5952 Romaine Pl, Saint Louis, MO 63112",-90.2863958,38.671161,"5952 romaine pl, st. louis, mo 63112, usa"
"32 W Montgomery St #C4, Baltimore, MD 21230",-76.6155156,39.2800743,"32 w montgomery st # c4, baltimore, md 21230, usa"
"4224 Scyene Rd, Dallas, TX 75210",-96.747587,32.766955,"4224 scyene rd, dallas, tx 75210, usa"
"4624 Rosalie St, Saint Louis, MO 63115",-90.233476,38.6856145,"4624 rosalie st, st. louis, mo 63115, usa"
"2913 Gasconade St, Saint Louis, MO 63118",-90.2354416,38.5818266,"2913 gasconade st, st. louis, mo 63118, usa"
"3911 Ray Ave, Saint Louis, MO 63116",-90.2560082,38.587155,"3911 ray ave, st. louis, mo 63116, usa"
"343 E 119th St, Chicago, IL 60628",-87.6149739,41.6779137,"343 e 119th st, chicago, il 60628, usa"
"4060 Meramec St, Saint Louis, MO 63116",-90.2568791,38.5867944,"4060 meramec st, st. louis, mo 63116, usa"
"3748 Ohio Ave, Saint Louis, MO 63118",-90.2289916,38.5867598,"3748 ohio ave, st. louis, mo 63118, usa"
"5718 Mimika Ave, Saint Louis, MO 63136",-90.2536614,38.7096827,"5718 mimika ave, st. louis, mo 63136, usa"
"4863 Lee Ave, Saint Louis, MO 63115",-90.2443854,38.6794515,"4863 lee ave, st. louis, mo 63115, usa"
"5143 Maffitt Ave, Saint Louis, MO 63113",-90.2598954,38.6714745,"5143 maffitt ave, st. louis, mo 63113, usa"
"15011 Freeland St, Detroit, MI 48227",-83.185687,42.3999239,"15011 freeland st, detroit, mi 48227, usa"
"4601 Carter Ave, Saint Louis, MO 63115",-90.2360647,38.6802465,"4601 carter ave, st. louis, mo 63115, usa"
"3725 Minnesota Ave, Saint Louis, MO 63118",-90.2360738,38.5883346,"3725 minnesota ave, st. louis, mo 63118, usa"
"3750 Shreve Ave, Saint Louis, MO 63115",-90.2445321,38.6749881,"3750 shreve ave, st. louis, mo 63115, usa"
"4843 Lee Ave, Saint Louis, MO 63115",-90.2437256,38.6791663,"4843 lee ave, st. louis, mo 63115, usa"
"4130 Osceola St, Saint Louis, MO 63116",-90.2618484,38.5868039,"4130 osceola st, st. louis, mo 63116, usa"
"5249 Beacon Ave, Saint Louis, MO 63120",-90.2484548,38.6965964,"5249 beacon ave, st. louis, mo 63120, usa"
"840 Wall St, Saint Louis, MO 63147",-90.2307139,38.7192649,"840 wall st, st. louis, mo 63147, usa"
"1223 Lynfield Pl, Saint Louis, MO 63147",-90.2358539,38.7121855,"1223 lynfield pl, st. louis, mo 63147, usa"
"423 Christian Ave, Saint Louis, MO 63147",-90.2293258,38.7080863,"423 christian ave, st. louis, mo 63147, usa"
"4421 Farlin Ave, Saint Louis, MO 63115",-90.234956,38.6731752,"4421 farlin ave, st. louis, mo 63115, usa"
"5418 Partridge Ave, Saint Louis, MO 63120",-90.2520847,38.7034242,"5418 partridge ave, st. louis, mo 63120, usa"
"1922 Breitwert Ave, Baltimore, MD 21230",-76.6493257,39.2676083,"1922 breitwert ave, baltimore, md 21230, usa"
"22612 Lyndon St, Detroit, MI 48223",-83.2643366,42.3932175,"22612 lyndon st, detroit, mi 48223, usa"
"712 S Ashland Ave, Green Bay, WI 54304",-88.0299209,44.5111991,"712 s ashland ave, green bay, wi 54304, usa"
"3840 Greer Ave, Saint Louis, MO 63107",-90.2245812,38.6593682,"3840 greer ave, st. louis, mo 63107, usa"
"6342 Arthur Ave, Saint Louis, MO 63139",-90.2972107,38.6014072,"6342 arthur ave, st. louis, mo 63139, usa"
"1209 N Euclid Ave, Saint Louis, MO 63113",-90.2598221,38.6577552,"1209 n euclid ave, st. louis, mo 63113, usa"
"4611 Natural Bridge Ave, Saint Louis, MO 63115",-90.2416361,38.6722915,"4611 natural bridge ave, st. louis, mo 63115, usa"
"3723 Wisconsin Ave, Saint Louis, MO 63118",-90.2226525,38.5866899,"3723 wisconsin ave, st. louis, mo 63118, usa"
"7318 Vermont Ave, Saint Louis, MO 63111",-90.2602163,38.5524386,"7318 vermont ave, st. louis, mo 63111, usa"
"2136 Adelaide Ave, Saint Louis, MO 63107",-90.2190529,38.67511,"2136 adelaide ave, st. louis, mo 63107, usa"
"6026 Shulte Ave, Saint Louis, MO 63136",-90.253698,38.707268,"6026 shulte ave, st. louis, mo 63136, usa"
"4658 Dewey Ave, Saint Louis, MO 63116",-90.2516096,38.5769125,"4658 dewey ave, st. louis, mo 63116, usa"
"7408 Minnesota Ave, Saint Louis, MO 63111",-90.2583185,38.5498275,"7408 minnesota ave, st. louis, mo 63111, usa"
"4118 Minnesota Ave, Saint Louis, MO 63118",-90.2370268,38.5813416,"4118 minnesota ave, st. louis, mo 63118, usa"
"4289 E San Francisco Ave, Saint Louis, MO 63115",-90.2319599,38.6699769,"4289 san francisco ave, st. louis, mo 63115, usa"
"955-961 Switzer Ave, Saint Louis, MO 63147",-90.2326929,38.7079254,"955 switzer ave, st. louis, mo 63147, usa"
"2831 Abner Pl, Saint Louis, MO 63120",-90.2644869,38.6742399,"2831 abner pl, st. louis, mo 63120, usa"
"853 Nassau Dr, Saint Louis, MO 63147",-90.2309704,38.7231926,"853 nassau dr, st. louis, mo 63147, usa"
"757 E 169th Street UNIT 2E, BRONX, NY 10456",-73.8998364,40.8310613,"757 e 169th st #2e, the bronx, ny 10456, usa"
"757 E 169th Street UNIT 1E, BRONX, NY 10456",-73.8998364,40.8310613,"757 e 169th st #1e, the bronx, ny 10456, usa"
"5175 Kensington Ave, Saint Louis, MO 63108",-90.2694685,38.6547025,"5175 kensington ave, st. louis, mo 63108, usa"
"210 N 17th St UNIT 207, Saint Louis, MO 63103",-90.2042825,38.6307247,"210 n 17th st #207, st. louis, mo 63103, usa"
"6722 Alabama Ave, Saint Louis, MO 63111",-90.2567416,38.5565588,"6722 alabama ave, st. louis, mo 63111, usa"
"3453 Itaska St, Saint Louis, MO 63111",-90.2466479,38.5733915,"3453 itaska st, st. louis, mo 63111, usa"
"5967 Riverview Blvd, Saint Louis, MO 63147",-90.245082,38.7116244,"5967 riverview blvd, st. louis, mo 63147, usa"
"4354 Gertrude Ave, Saint Louis, MO 63116",-90.2706155,38.5778132,"4354 gertrude ave, st. louis, mo 63116, usa"
"6605 Villa Ave, Saint Louis, MO 63139",-90.2988626,38.6257484,"6605 villa ave, st. louis, mo 63139, usa"
"4728 Hammett Pl, Saint Louis, MO 63113",-90.2520113,38.6640385,"4728 hammett pl, st. louis, mo 63113, usa"
"5225 Steffens Ave, Saint Louis, MO 63116",-90.2638164,38.5768108,"5225 steffens ave, st. louis, mo 63116, usa"
"3310 Itaska St, Saint Louis, MO 63111",-90.2442755,38.5718024,"3310 itaska st, st. louis, mo 63111, usa"
"4600 Richard Pl, Saint Louis, MO 63115",-90.2350761,38.6811933,"4600 richard pl, st. louis, mo 63115, usa"
"3724 Palm St, Saint Louis, MO 63107",-90.2202344,38.6611536,"3724 palm st, st. louis, mo 63107, usa"
"4207 Darby St, Saint Louis, MO 63120",-90.2727334,38.6913847,"4207 darby st, st. louis, mo 63120, usa"
"4624 Lee Ave, Saint Louis, MO 63115",-90.238737,38.676513,"4624 lee ave, st. louis, mo 63115, usa"
"212 Espenschied St, Saint Louis, MO 63111",-90.2667174,38.5418494,"212 espenschied st, st. louis, mo 63111, usa"
"8800 Jordan Ave, Saint Louis, MO 63147",-90.2301642,38.7241762,"8800 jordan st, st. louis, mo 63147, usa"
"4963 Leahy Ave, Saint Louis, MO 63115",-90.2399133,38.6884679,"4963 leahy ave, st. louis, mo 63115, usa"
"2621 Ghent St, Dallas, TX 75215",-96.7498279,32.749439,"2621 ghent st, dallas, tx 75215, usa"
"3281 Hull Avenue UNIT 10, BRONX, NY 10467",-73.8749666,40.8763557,"3281 hull ave apt 10, the bronx, ny 10467, usa"
"147 Edgewater Park UNIT D, BRONX, NY 10465",-73.8113004,40.8230851,"147 d edgewater park, the bronx, ny 10465, usa"
"3926 Louisiana Ave, Saint Louis, MO 63118",-90.240903,38.5852189,"3926 louisiana ave, st. louis, mo 63118, usa"
"4437 Red Bud Ave, Saint Louis, MO 63115",-90.2255273,38.6758862,"4437 red bud ave, st. louis, mo 63115, usa"
"4644 Michigan Ave, Saint Louis, MO 63111",-90.2402065,38.5717288,"4644 michigan ave, st. louis, mo 63111, usa"
"1652 Veronica Ave, Saint Louis, MO 63147",-90.244972,38.718745,"1652 veronica ave, st. louis, mo 63147, usa"
"4059 Phillips Ave, Saint Louis, MO 63116",-90.2564024,38.590752,"4059 phillips ave, st. louis, mo 63116, usa"
"905 Canaan Ave, Saint Louis, MO 63147",-90.2322897,38.7206531,"905 canaan ave, st. louis, mo 63147, usa"
"4620 Michigan Ave, Saint Louis, MO 63111",-90.240069,38.572416,"4620 michigan ave, st. louis, mo 63111, usa"
"5716 Minnesota Ave, Saint Louis, MO 63111",-90.2446054,38.5615891,"5716 minnesota ave, st. louis, mo 63111, usa"
